Contract,Buyer,Supplier,Amount,AwardDate,StartDate,EndDate,PreparatoryPhase,ContractDays,PhaseDays,ContractType
License/Maintenance fees for client software related to Distributed Computing Environment (DCE),Privy Council Office,Microsoft,436800,2022-04-01,2022-04-01,2023-03-31,0,364,0,License/Maintenance Fees Related
License/Maintenance fees for client software related to Distributed Computing Environment (DCE),Administrative Tribunals Support Service of Canada,Microsoft,74514,2022-03-29,2022-04-01,2023-03-31,3,364,3,License/Maintenance Fees Related
Information Technology and Telecommunications Consultants,Office of the Auditor General of Canada,Microsoft,74922,2022-03-08,2022-04-01,2023-03-31,24,364,24,Consulting Related
License/Maintenance fees for Client Software,Canadian Heritage,Microsoft,569062,2022-05-17,2022-05-17,2023-03-31,0,318,0,License/Maintenance Fees Related
License/Maintenance fees for client software related to Distributed Computing Environment (DCE),Shared Services Canada,Microsoft,482953,2023-02-08,2023-02-08,2023-03-31,0,51,0,License/Maintenance Fees Related
License/Maintenance fees for Client Software,Canadian Heritage,Microsoft,14431,2022-07-12,2022-07-12,2023-03-31,0,262,0,License/Maintenance Fees Related
NETWORKING SOFTWARE,Transport Canada,Microsoft,10820,2022-11-30,2022-11-30,2023-03-31,0,121,0,Software Related
License/Maintenance fees for Client Software,Correctional Service of Canada,Microsoft,151646,2022-10-18,2022-08-01,2023-03-31,-78,242,78,License/Maintenance Fees Related
License/Maintenance fees for client software related to Distributed Computing Environment (DCE),Privy Council Office,Microsoft,11608,2022-04-01,2022-04-01,2023-03-31,0,364,0,License/Maintenance Fees Related
License/Maintenance fees for client software related to Distributed Computing Environment (DCE),Privy Council Office,Microsoft,37002,2022-04-01,2022-04-01,2023-03-31,0,364,0,License/Maintenance Fees Related
License/Maintenance fees for client software related to Distributed Computing Environment (DCE),Privy Council Office,Microsoft,233910,2020-11-13,2020-11-13,2023-03-31,0,868,0,License/Maintenance Fees Related
License/Maintenance fees for application software (including COTS) and application development and delivery software,Privy Council Office,Microsoft,565000,2021-03-02,2021-03-02,2023-03-31,0,759,0,License/Maintenance Fees Related
License/Maintenance fees for application software (including COTS) and application development and delivery software,Canada Economic Development for Quebec Regions,Microsoft,68583,2022-04-01,2022-04-01,2023-03-31,0,364,0,License/Maintenance Fees Related
License/Maintenance fees for application software (including COTS) and application development and delivery software,National Defence,Microsoft,1942589,2022-03-25,2022-04-01,2023-03-31,7,364,7,License/Maintenance Fees Related
Client software related to Distributed Computing E,Global Affairs Canada,Microsoft,40239,2022-10-18,2022-10-18,2023-03-31,0,164,0,Software Related
Client Software Related To Distributed Computing Environment (DCE),Correctional Service of Canada,Microsoft,19928,2022-03-08,2022-03-08,2023-03-31,0,388,0,Distributed Computing Environment Related
Application software (including COTS) and application development and delivery software,Shared Services Canada,Microsoft,0,2021-06-16,2021-06-16,2023-03-31,0,653,0,Database Access Services Related
Client Software,Public Health Agency of Canada,Microsoft,186824,2023-03-07,2023-03-08,2023-03-31,1,23,1,Software Related
License/Maintenance fees for client software related to Distributed Computing Environment (DCE),Canadian Centre for Occupational Health and Safety,Microsoft,62826,2022-08-15,2022-05-01,2023-03-31,-106,334,106,License/Maintenance Fees Related
Client software related to Distributed Computing Environment (DCE),Social Sciences and Humanities Research Council of Canada,Microsoft,285849,2022-04-12,2022-04-01,2023-03-31,-11,364,11,Distributed Computing Environment Related
Application software (including COTS) and application development and delivery software,Natural Sciences and Engineering Research Council of Canada,Microsoft,10870,2022-04-01,2022-04-01,2023-03-31,0,364,0,Database Access Services Related
Application software (including COTS) and application development and delivery software,Social Sciences and Humanities Research Council of Canada,Microsoft,10870,2022-04-01,2022-04-01,2023-03-31,0,364,0,Database Access Services Related
Computer services (includes IT solutions/deliverables as well as IT managed services),Women and Gender Equality Canada,Microsoft,33918,2021-12-31,2022-01-01,2023-03-31,1,454,1,Computer Services Related
LICENSE/MAINTENANCE FEES FOR CLIENT SOFTWARE,Statistics Canada,Microsoft,376827,2022-04-01,2022-04-01,2023-03-31,0,364,0,License/Maintenance Fees Related
Client Software Related To Distributed Computing Environment (DCE),Correctional Service of Canada,Microsoft,582572,2022-04-01,2022-04-01,2023-03-31,0,364,0,Distributed Computing Environment Related
Computer equipment related to Distributed Computing Environment (DCE) - Desktop/personal/portable (includes all related parts and peripherals),Treasury Board of Canada Secretariat,Microsoft,2056600,2020-02-04,2020-02-04,2023-03-31,0,1151,0,Distributed Computing Environment Related
License/Maintenance fees for application software (including COTS) and application development and delivery software,Treasury Board of Canada Secretariat,Microsoft,32496,2022-05-01,2022-05-01,2023-03-31,0,334,0,License/Maintenance Fees Related
License/Maintenance fees for application software (including COTS) and application development and delivery software,Global Affairs Canada,Microsoft,340340,2022-04-01,2022-04-01,2023-03-31,0,364,0,License/Maintenance Fees Related
License/Maintenance fees for application software (including COTS) and application development and delivery software,Global Affairs Canada,Microsoft,4243235,2022-04-01,2022-04-01,2023-03-31,0,364,0,License/Maintenance Fees Related
License/Maintenance fees for client software related to Distributed Computing Environment (DCE),Global Affairs Canada,Microsoft,16764,2022-04-01,2022-04-01,2023-03-31,0,364,0,License/Maintenance Fees Related
License/Maintenance fees for client software relat,Global Affairs Canada,Microsoft,39976,2022-03-31,2022-03-31,2023-03-31,0,365,0,License/Maintenance Fees Related
Computer services (includes IT solutions/deliver,Fisheries and Oceans Canada,Microsoft,113000,2022-12-23,2022-12-23,2023-03-31,0,98,0,Computer Services Related
License/Maintenance fees for application software (including COTS) and application development and delivery software,Library and Archives Canada,Microsoft,404256,2022-03-25,2022-04-01,2023-03-31,7,364,7,License/Maintenance Fees Related
License/Maintenance fees for client software related to Distributed Computing Environment (DCE),Financial Transactions and Reports Analysis Centre of Canada,Microsoft,75848,2022-03-30,2022-04-01,2023-03-31,2,364,2,License/Maintenance Fees Related
Training consultants,Shared Services Canada,Microsoft,456520,2022-06-22,2022-06-22,2023-03-31,0,282,0,Consulting Related
License/Maintenance fees for client software related to Distributed Computing Environment (DCE),"Immigration, Refugees and Citizenship Canada",Microsoft,230352,2022-04-01,2022-04-01,2023-03-31,0,364,0,License/Maintenance Fees Related
License/Maintenance fees for application software (including COTS) and application development and delivery software,Agriculture and Agri-Food Canada,Microsoft,10731,2020-03-09,2020-03-09,2023-03-31,0,1117,0,License/Maintenance Fees Related
License/Maintenance fees for client software related to Distributed Computing Environment (DCE),Veterans Affairs Canada,Microsoft,89441,2022-03-31,2022-04-01,2023-03-31,1,364,1,License/Maintenance Fees Related
Computer services (includes IT solutions/deliverables as well as IT managed services),Impact Assessment Agency of Canada,Microsoft,57340,2022-08-05,2022-08-05,2023-03-31,0,238,0,Computer Services Related
"Management consulting, except other depts or programs",Prairies Economic Development Canada,Microsoft,80081,2022-06-13,2022-04-01,2023-03-31,-73,364,73,Consulting Related
Information technology and telecommunications consultants,Office of the Commissioner for Federal Judicial Affairs Canada,Microsoft,77430,2022-04-01,2022-04-01,2023-03-31,0,364,0,Consulting Related
License/Maintenance fees for client software related to Distributed Computing Environment (DCE),Office of the Auditor General of Canada,Microsoft,2400097,2020-03-31,2020-04-01,2023-03-31,1,1094,1,License/Maintenance Fees Related
Computer services (includes IT solutions/deliverables as well as IT managed services),Canadian Human Rights Commission,Microsoft,138988,2021-12-22,2022-04-01,2023-03-31,100,364,100,Computer Services Related
LICENSE/MAINTENANCE FEES FOR APPLICATION SOFTWARE (INCLUDING COTS) AND APPLICATION DEVELOPMENT AND DELIVERY SOFTWARE,Transport Canada,Microsoft,152367,2022-05-16,2022-05-16,2023-03-31,0,319,0,License/Maintenance Fees Related
License/Maintenance fees for application software (including COTS) and application development and delivery software,Public Safety Canada,Microsoft,40094,2021-07-15,2021-07-15,2023-03-31,0,624,0,License/Maintenance Fees Related
License/Maintenance fees for client software related to Distributed Computing Environment (DCE),Immigration and Refugee Board of Canada,Microsoft,49156,2022-10-07,2022-10-07,2023-03-31,0,175,0,License/Maintenance Fees Related
Information technology and telecommunications consultants,Office of the Superintendent of Financial Institutions Canada,Microsoft,836545,2022-03-31,2022-04-01,2023-03-31,1,364,1,Consulting Related
LICENSE/MAINTENANCE FEES FOR CLIENT SOFTWARE,Department of Justice Canada,Microsoft,18108,2020-12-04,2020-12-04,2023-03-31,0,847,0,License/Maintenance Fees Related
License/Maintenance fees for Client Software,"Innovation, Science and Economic Development Canada",Microsoft,29996,2022-04-01,2022-04-01,2023-03-31,0,364,0,License/Maintenance Fees Related
"License/Maintenance fees for operating system and utility software related to servers, storage, peripherals and components",Treasury Board of Canada Secretariat,Microsoft,786263,2020-03-26,2020-03-26,2023-03-31,0,1100,0,License/Maintenance Fees Related
Computer services (includes IT solutions/deliverables as well as IT managed services),Courts Administration Service,Microsoft,77079,2022-03-30,2022-04-01,2023-03-31,2,364,2,Computer Services Related
License/Maintenance fees for application software (including COTS) and application development and delivery software,Atlantic Canada Opportunities Agency,Microsoft,140332,2022-04-20,2022-04-20,2023-03-31,0,345,0,License/Maintenance Fees Related
LICENSE/MAINTENANCE FEES FOR APPLICATION SOFTWARE,Public Prosecution Service of Canada,Microsoft,68583,2022-10-07,2022-10-07,2023-03-31,0,175,0,License/Maintenance Fees Related
Client Software,Health Canada,Microsoft,343071,2021-07-01,2021-07-01,2023-03-31,0,638,0,Software Related
COMPUTER SERVICES,Statistics Canada,Microsoft,42374887,2023-02-17,2023-02-17,2023-03-31,0,42,0,Computer Services Related
License/Maintenance fees for application software (including COTS) and application development and delivery software,Social Sciences and Humanities Research Council of Canada,Microsoft,68583,2022-04-22,2022-04-01,2023-03-31,-21,364,21,License/Maintenance Fees Related
1284 - Client Software related to Distributed Computing Environment (DCE),Office of the Privacy Commissioner of Canada,Microsoft,16600,2022-03-31,2022-04-01,2023-03-31,1,364,1,Distributed Computing Environment Related
0582 - License/Maintenance fees for Client Software related to Distributed Computing Environment (DCE),Office of the Privacy Commissioner of Canada,Microsoft,277047,2022-04-01,2022-04-01,2023-03-31,0,364,0,License/Maintenance Fees Related
License/Maintenance fees for client software related to Distributed Computing Environment (DCE),Immigration and Refugee Board of Canada,Microsoft,35941,2022-09-22,2022-09-22,2023-03-31,0,190,0,License/Maintenance Fees Related
INFORMATION TECHNOLOGY AND TELECOMMUNICATIONS CONSULTANTS,Transport Canada,Microsoft,1070450,2022-05-26,2022-05-26,2023-03-31,0,309,0,Consulting Related
License/Maintenance fees for App.Software,"Innovation, Science and Economic Development Canada",Microsoft,50548,2022-04-01,2022-04-01,2023-03-31,0,364,0,License/Maintenance Fees Related
Application Software - Development & Delivery,"Innovation, Science and Economic Development Canada",Microsoft,13090,2023-03-14,2023-03-14,2023-03-31,0,17,0,Software Related
LICENSE/MAINTENANCE FEES FOR APPLICATION SOFTWARE (INCLUDING COTS) AND APPLICATION DEVELOPMENT AND DELIVERY SOFTWARE,Transport Canada,Microsoft,190179,2022-05-25,2022-05-25,2023-03-31,0,310,0,License/Maintenance Fees Related
LICENSE/MAINTENANCE FEES FOR APPLICATION SOFTWARE (INCLUDING COTS) AND APPLICATION DEVELOPMENT AND DELIVERY SOFTWARE,Transport Canada,Microsoft,59901,2022-05-20,2022-05-20,2023-03-31,0,315,0,License/Maintenance Fees Related
INFORMATION TECHNOLOGY AND TELECOMMUNICATIONS CONSULTANTS,Transport Canada,Microsoft,135600,2022-01-04,2022-01-04,2023-03-31,0,451,0,Consulting Related
LICENSE/MAINTENANCE FEES FOR APPLICATION SOFTWARE (INCLUDING COTS) AND APPLICATION DEVELOPMENT AND DELIVERY SOFTWARE,Transport Canada,Microsoft,472127,2022-05-16,2022-05-16,2023-03-31,0,319,0,License/Maintenance Fees Related
0582 - License and Maintenance Fees - Workstation Software,Canadian Institutes of Health Research,Microsoft,93513,2022-05-19,2022-04-01,2023-03-31,-48,364,48,License/Maintenance Fees Related
Information Technology Managed Services,Parks Canada,Microsoft,37281,2023-03-30,2023-03-30,2023-03-31,0,1,0,Other
License/Maintenance fees for application software (including COTS) and application development and delivery software,Natural Sciences and Engineering Research Council of Canada,Microsoft,68583,2022-04-22,2022-04-01,2023-03-31,-21,364,21,License/Maintenance Fees Related
Computer services (includes IT solutions/deliverables as well as IT managed services),Impact Assessment Agency of Canada,Microsoft,26009,2022-03-31,2022-03-31,2023-03-31,0,365,0,Computer Services Related
License/Maintenance fees for application software (including COTS) and application development and delivery software,Natural Sciences and Engineering Research Council of Canada,Microsoft,94779,2022-05-16,2022-05-01,2023-03-31,-15,334,15,License/Maintenance Fees Related
License/Maintenance fees for application software (including COTS) and application development and delivery software,Social Sciences and Humanities Research Council of Canada,Microsoft,94779,2022-05-16,2022-05-01,2023-03-31,-15,334,15,License/Maintenance Fees Related
Client software related to Distributed Computing Environment (DCE),Natural Sciences and Engineering Research Council of Canada,Microsoft,285849,2022-04-12,2022-04-01,2023-03-31,-11,364,11,Distributed Computing Environment Related
Application software (including COTS) and application development and delivery software,Natural Sciences and Engineering Research Council of Canada,Microsoft,20950,2022-11-02,2022-04-01,2023-03-31,-215,364,215,Database Access Services Related
Application software (including COTS) and application development and delivery software,Social Sciences and Humanities Research Council of Canada,Microsoft,20950,2022-11-02,2022-04-01,2023-03-31,-215,364,215,Database Access Services Related
Application software (including COTS) and application development and delivery software,Natural Sciences and Engineering Research Council of Canada,Microsoft,47162,2022-11-22,2022-04-01,2023-03-31,-235,364,235,Database Access Services Related
Application software (including COTS) and application development and delivery software,Social Sciences and Humanities Research Council of Canada,Microsoft,47162,2022-11-22,2022-04-01,2023-03-31,-235,364,235,Database Access Services Related
Computer services (includes IT solutions/deliverables as well as IT managed services),Natural Resources Canada,Microsoft,673299,2023-02-10,2023-02-10,2023-03-31,0,49,0,Computer Services Related
License/Maintenance fees for client software related to Distributed Computing Environment (DCE),Elections Canada,Microsoft,154296,2022-08-15,2022-08-15,2023-03-31,0,228,0,License/Maintenance Fees Related
Client software related to Distributed Computing Environment (DCE),Natural Resources Canada,Microsoft,205077,2022-08-25,2022-08-25,2023-03-31,0,218,0,Distributed Computing Environment Related
Information technology and telecommunications consultants,Canadian Food Inspection Agency,Microsoft,211937,2022-04-22,2022-04-01,2023-03-31,-21,364,21,Consulting Related
"License/Maintenance fees for operating system and utility software related to servers, storage, peripherals and components",Elections Canada,Microsoft,117048,2022-04-01,2022-04-01,2023-03-31,0,364,0,License/Maintenance Fees Related
"Rental of computer equipment related to production and operations (P&O) environment - All servers, storage, printers, etc. (includes all related parts and peripherals)",Employment and Social Development Canada,Microsoft,1346969,2022-09-28,2022-09-28,2023-03-31,0,184,0,Production and Operation Related
0582 License/Maintenance fees for client software related to Distributed Computing Environment (DCE),Office of the Information Commissioner of Canada,Microsoft,79689,2022-01-25,2022-04-01,2023-03-31,66,364,66,License/Maintenance Fees Related
License/Maintenance fees for application software (including COTS) and application development and delivery software,Employment and Social Development Canada,Microsoft,1695776,2022-06-13,2022-04-01,2023-03-31,-73,364,73,License/Maintenance Fees Related
"License/Maintenance fees for operating system and utility software related to servers, storage, peripherals and components",International Joint Commission,Microsoft,20796,2022-04-01,2022-04-01,2023-03-31,0,364,0,License/Maintenance Fees Related
LICENSE/MAINTENANCE FEES FOR APPLICATION SOFTWARE (INCLUDING COTS) AND APPLICATION DEVELOPMENT AND DELIVERY SOFTWARE,Transport Canada,Microsoft,603006,2022-08-22,2022-08-22,2023-03-31,0,221,0,License/Maintenance Fees Related
LICENSE/MAINTENANCE FEES FOR APPLICATION SOFTWARE (INCLUDING COTS) AND APPLICATION DEVELOPMENT AND DELIVERY SOFTWARE,Transport Canada,Microsoft,223989,2023-02-01,2023-02-01,2023-03-31,0,58,0,License/Maintenance Fees Related
"Professional Services-Information technology, business and/or telecommunications",Shared Services Canada,Microsoft,113373,2023-01-18,2023-01-18,2023-03-31,0,72,0,Other
Computer services,Indigenous Services Canada,Microsoft,12434,2021-12-09,2021-12-09,2023-03-31,0,477,0,Computer Services Related
License/Maintenance fees for client software related to Distributed Computing Environment (DCE),Shared Services Canada,Microsoft,12724,2022-04-19,2022-04-19,2023-03-31,0,346,0,License/Maintenance Fees Related
License/Maintenance fees for Client Software,Public Services and Procurement Canada,Microsoft,13650,2022-03-02,2022-03-02,2023-03-31,0,394,0,License/Maintenance Fees Related
Computer services,Health Canada,Microsoft,876293,2022-03-30,2022-04-01,2023-03-31,2,364,2,Computer Services Related
Client Software,Health Canada,Microsoft,337367,2022-06-20,2022-06-20,2023-03-31,0,284,0,Software Related
Computer services,Public Health Agency of Canada,Microsoft,4722278,2023-01-23,2023-01-23,2023-03-31,0,67,0,Computer Services Related
License/Maintenance fees for Application Software (including Commercial Off-The-Shelf [COTS]) and Application Development and Delivery Software,Health Canada,Microsoft,18446,2023-02-23,2023-02-28,2023-03-31,5,31,5,License/Maintenance Fees Related
Information technology and telecommunications consultants,Public Safety Canada,Microsoft,565000,2022-04-21,2022-04-21,2023-03-31,0,344,0,Consulting Related
Client Software Related to Distributed Computing Environment (DCE),Correctional Service of Canada,Microsoft,70426,2022-06-27,2022-06-27,2023-03-31,0,277,0,Distributed Computing Environment Related
License/Maintenance fees for client software related to Distributed Computing Environment (DCE),Shared Services Canada,Microsoft,43969,2023-01-23,2020-11-05,2023-03-31,-809,876,809,License/Maintenance Fees Related
COMPUTER SERVICES,Statistics Canada,Microsoft,1032776,2022-04-13,2022-04-01,2023-03-31,-12,364,12,Computer Services Related
License/Maintenance fees for client software,Indigenous Services Canada,Microsoft,35067,2023-03-27,2023-03-27,2023-03-31,0,4,0,License/Maintenance Fees Related
License/Maintenance fees for client software related to Distributed Computing Environment (DCE),Canada Revenue Agency,Microsoft,151646,2022-12-01,2022-12-01,2023-03-31,0,120,0,License/Maintenance Fees Related
Computer services (includes IT solutions/deliverab,Canada Border Services Agency,Microsoft,565000,2022-10-13,2022-10-14,2023-03-31,1,168,1,Computer Services Related
Computer services (includes IT solutions/deliverab,Canada Border Services Agency,Microsoft,11752,2022-10-05,2022-10-06,2023-03-31,1,176,1,Computer Services Related
Application software (including COTS) and application development and delivery software,Canada Revenue Agency,Microsoft,151646,2022-09-13,2022-09-13,2023-03-31,0,199,0,Database Access Services Related
Client software related to Distributed Computing Environment (DCE),Natural Resources Canada,Microsoft,16098,2021-11-26,2021-11-26,2023-03-31,0,490,0,Distributed Computing Environment Related
Information technology and telecommunications consultants,Treasury Board of Canada Secretariat,Microsoft,645743,2022-04-01,2022-04-01,2023-03-31,0,364,0,Consulting Related
Computer services (includes IT solutions/deliverables as well as IT managed services),Natural Resources Canada,Microsoft,134899,2022-04-01,2022-04-01,2023-03-31,0,364,0,Computer Services Related
Computer services (includes IT solutions/deliverables as well as IT managed services),Natural Resources Canada,Microsoft,151646,2022-03-18,2022-08-01,2023-03-31,136,242,136,Computer Services Related
Application software (including COTS) and application development and delivery software,Canada Energy Regulator,Microsoft,92823,2022-04-29,2022-04-01,2023-03-31,-28,364,28,Database Access Services Related
Computer services (includes IT solutions/deliver,Fisheries and Oceans Canada,Microsoft,379246,2023-02-08,2023-02-09,2023-03-31,1,50,1,Computer Services Related
License/Maintenance fees for client software rel,Fisheries and Oceans Canada,Microsoft,203002,2023-03-29,2023-03-29,2023-03-31,0,2,0,License/Maintenance Fees Related
License/Maintenance fees for application software (including COTS) and application development and delivery software,Privy Council Office,Microsoft,147095,2022-04-01,2022-04-01,2023-03-31,0,364,0,License/Maintenance Fees Related
Computer services (includes IT solutions/deliverables as well as IT managed services),Public Safety Canada,Microsoft,420400,2022-03-25,2022-03-25,2023-03-31,0,371,0,Computer Services Related
License/Maintenance fees for client software related to Distributed Computing Environment (DCE),Immigration and Refugee Board of Canada,Microsoft,47921,2022-09-22,2022-09-22,2023-03-31,0,190,0,License/Maintenance Fees Related
License/Maintenance fees for client software related to Distributed Computing Environment (DCE),Immigration and Refugee Board of Canada,Microsoft,47921,2022-09-22,2022-09-22,2023-03-31,0,190,0,License/Maintenance Fees Related
License/Maintenance fees for client software related to Distributed Computing Environment (DCE),Immigration and Refugee Board of Canada,Microsoft,16545,2022-09-22,2022-09-22,2023-03-31,0,190,0,License/Maintenance Fees Related
License/Maintenance fees for client software related to Distributed Computing Environment (DCE),Privy Council Office,Microsoft,125560,2023-01-04,2023-01-04,2023-03-30,0,85,0,License/Maintenance Fees Related
"License/Maintenance fees for operating system and utility software related to servers, storage, peripherals and components",Treasury Board of Canada Secretariat,Microsoft,5691625,2021-10-01,2021-10-01,2023-03-14,0,529,0,License/Maintenance Fees Related
License/Maintenance fees for application software (including COTS) and application development and delivery software,National Research Council Canada,Microsoft,181162,2022-03-04,2022-03-04,2023-03-03,0,364,0,License/Maintenance Fees Related
License/Maintenance fees for client software related to Distributed Computing Environment (DCE),Global Affairs Canada,Microsoft,784527,2023-02-24,2023-02-24,2023-03-01,0,5,0,License/Maintenance Fees Related
Application software (including COTS) and application development and delivery software,Employment and Social Development Canada,Microsoft,82267,2022-03-14,2022-02-01,2023-02-28,-41,392,41,Database Access Services Related
"Rental of computer equipment related to production and operations (P&O) environment - All servers, storage, printers, etc. (includes all related parts and peripherals)",Employment and Social Development Canada,Microsoft,56513,2022-03-15,2022-03-01,2023-02-28,-14,364,14,Production and Operation Related
Application software (including COTS) and application development and delivery software,Employment and Social Development Canada,Microsoft,75939,2022-03-14,2022-03-01,2023-02-28,-13,364,13,Database Access Services Related
"Rental of computer equipment related to production and operations (P&O) environment - All servers, storage, printers, etc. (includes all related parts and peripherals)",Employment and Social Development Canada,Microsoft,558061,2022-03-14,2022-03-01,2023-02-28,-13,364,13,Production and Operation Related
"License/Maintenance fees for operating system and utility software related to servers, storage, peripherals and components",Employment and Social Development Canada,Microsoft,279031,2022-03-15,2022-03-01,2023-02-28,-14,364,14,License/Maintenance Fees Related
"License/Maintenance fees for operating system and utility software related to servers, storage, peripherals and components",Employment and Social Development Canada,Microsoft,114791,2022-03-15,2022-03-01,2023-02-28,-14,364,14,License/Maintenance Fees Related
"Rental of computer equipment related to production and operations (P&O) environment - All servers, storage, printers, etc. (includes all related parts and peripherals)",Employment and Social Development Canada,Microsoft,10596,2022-03-14,2022-03-14,2023-02-28,0,351,0,Production and Operation Related
"License/Maintenance fees for operating system and utility software related to servers, storage, peripherals and components",Employment and Social Development Canada,Microsoft,42384,2022-03-15,2022-03-01,2023-02-28,-14,364,14,License/Maintenance Fees Related
Application software (including COTS) and application development and delivery software,Employment and Social Development Canada,Microsoft,688746,2022-02-14,2022-02-01,2023-02-28,-13,392,13,Database Access Services Related
"License/Maintenance fees for operating system and utility software related to servers, storage, peripherals and components",Employment and Social Development Canada,Microsoft,12509,2021-09-01,2021-09-01,2023-02-28,0,545,0,License/Maintenance Fees Related
License/Maintenance fees for application software (including COTS) and application development and delivery software,Treasury Board of Canada Secretariat,Microsoft,171937,2022-03-01,2022-03-01,2023-02-28,0,364,0,License/Maintenance Fees Related
"License/Maintenance fees for operating system and utility software related to servers, storage, peripherals and components",Employment and Social Development Canada,Microsoft,914796,2022-03-14,2022-03-01,2023-02-28,-13,364,13,License/Maintenance Fees Related
Client software related to Distributed Computing Environment (DCE),Correctional Service of Canada,Microsoft,1354698,2022-03-17,2022-03-17,2023-02-27,0,347,0,Distributed Computing Environment Related
Application software (including COTS) and application development and delivery software,Canada Revenue Agency,Microsoft,2464928,2022-12-23,2022-12-23,2023-02-23,0,62,0,Database Access Services Related
Computer services (includes IT solutions/deliverables as well as IT managed services),Public Safety Canada,Microsoft,141250,2022-03-23,2022-04-01,2023-01-31,9,305,9,Computer Services Related
Computer services (includes IT solutions/deliverables as well as IT managed services),Natural Resources Canada,Microsoft,223756,2021-01-21,2021-01-21,2023-01-31,0,740,0,Computer Services Related
License/Maintenance fees for client software related to Distributed Computing Environment (DCE),Administrative Tribunals Support Service of Canada,Microsoft,180511,2021-12-31,2022-01-01,2023-01-31,1,395,1,License/Maintenance Fees Related
Computer services (includes IT solutions/deliverables as well as IT managed services),Natural Resources Canada,Microsoft,42619,2022-03-26,2022-02-01,2023-01-31,-53,364,53,Computer Services Related
Client software related to Distributed Computing Environment (DCE),Natural Resources Canada,Microsoft,60506,2020-12-21,2020-12-21,2023-01-31,0,771,0,Distributed Computing Environment Related
License/Maintenance fees for client software related to Distributed Computing Environment (DCE),Administrative Tribunals Support Service of Canada,Microsoft,110650,2021-09-01,2021-09-01,2023-01-31,0,517,0,License/Maintenance Fees Related
Application software (including COTS) and application development and delivery software,Employment and Social Development Canada,Microsoft,1033119,2020-01-28,2020-01-28,2023-01-27,0,1095,0,Database Access Services Related
"License/Maintenance fees for operating system and utility software related to servers, storage, peripherals and components",Employment and Social Development Canada,Microsoft,30905,2022-01-26,2022-01-26,2023-01-25,0,364,0,License/Maintenance Fees Related
"License/Maintenance fees for operating system and utility software related to servers, storage, peripherals and components",Employment and Social Development Canada,Microsoft,2299353,2022-01-11,2022-01-11,2023-01-10,0,364,0,License/Maintenance Fees Related
Information technology and telecommunications consultants,National Defence,Microsoft,86871,2021-01-04,2021-01-04,2023-01-03,0,729,0,Consulting Related
License/Maintenance fees for client software related to Distributed Computing Environment (DCE),National Film Board,Microsoft,14764,2021-06-18,2021-06-18,2023-01-01,0,562,0,License/Maintenance Fees Related
License/Maintenance fees for application software (including COTS) and application development and delivery software,National Film Board,Microsoft,20916,2021-03-12,2021-03-12,2023-01-01,0,660,0,License/Maintenance Fees Related
Client Software,Public Health Agency of Canada,Microsoft,18712,2022-08-29,2022-08-31,2022-12-31,2,122,2,Software Related
Data and Database Access Services,Public Health Agency of Canada,Microsoft,73839,2021-08-12,2021-08-12,2022-12-31,0,506,0,Database Access Services Related
Computer services,Health Canada,Microsoft,734500,2022-03-31,2022-03-31,2022-12-31,0,275,0,Computer Services Related
License/Maintenance fees for client software related to Distributed Computing Environment (DCE),"Innovation, Science and Economic Development Canada",Microsoft,50633,2022-01-01,2022-01-01,2022-12-31,0,364,0,License/Maintenance Fees Related
Application software (including COTS) and application development and delivery software,Canada Revenue Agency,Microsoft,34525,2022-07-12,2022-08-01,2022-12-31,20,152,20,Database Access Services Related
License/Maintenance fees for client software related to Distributed Computing Environment (DCE),Privy Council Office,Microsoft,12220,2022-01-01,2022-01-01,2022-12-31,0,364,0,License/Maintenance Fees Related
0583 - SOFTWARE,Veterans Affairs Canada,Microsoft,267221,2020-06-19,2020-06-01,2022-12-31,-18,943,18,Software Related
Purchase of Client Software,Statistics Canada,Microsoft,1397643,2021-04-30,2021-05-01,2022-12-31,1,609,1,Software Related
Computer services (includes IT solutions/deliverables as well as IT managed services),Treasury Board of Canada Secretariat,Microsoft,13560,2020-12-03,2020-12-03,2022-12-30,0,757,0,Computer Services Related
License/Maintenance fees for application software (including COTS) and application development and delivery software,National Defence,Microsoft,759516,2021-12-23,2021-12-23,2022-12-22,0,364,0,License/Maintenance Fees Related
License/Maintenance fees for application software (including COTS) and application development and delivery software,National Defence,Microsoft,374845,2021-12-23,2021-12-23,2022-12-22,0,364,0,License/Maintenance Fees Related
License/Maintenance fees for application software (including COTS) and application development and delivery software,National Defence,Microsoft,2714000,2021-12-07,2021-12-07,2022-12-06,0,364,0,License/Maintenance Fees Related
Computer services,Indigenous Services Canada,Microsoft,152745,2021-12-01,2021-12-01,2022-11-30,0,364,0,Computer Services Related
Computer services,Indigenous Services Canada,Microsoft,52539,2022-03-01,2022-03-01,2022-11-30,0,274,0,Computer Services Related
License/Maintenance fees for application software (including COTS) and application development and delivery software,National Defence,Microsoft,656178,2021-11-30,2021-11-30,2022-11-29,0,364,0,License/Maintenance Fees Related
Client software related to Distributed Computing Environment (DCE),"Immigration, Refugees and Citizenship Canada",Microsoft,74127,2021-11-17,2021-11-17,2022-11-16,0,364,0,Distributed Computing Environment Related
License/Maintenance fees for client softward related to Distributed Computing Environment (DCE),Indigenous Services Canada,Microsoft,18676,2021-11-09,2021-11-09,2022-11-01,0,357,0,License/Maintenance Fees Related
